,Name,Description,Genre,Rating,Trailer,Age,Casts
0,Nhà tù Shawshank,"The Shawshank Redemption is a movie starring Tim Robbins, Morgan Freeman, and Bob Gunton. Two imprisoned men bond over a number of years, finding solace and eventual redemption through acts of common decency.",Drama,9.2,https://www.imdb.com/video/imdb/vi3877612057,R,"Tim Robbins,Morgan Freeman,Bob Gunton,William Sadler,Clancy Brown,Gil Bellows,Mark Rolston,James Whitmore,Jeffrey DeMunn,Larry Brandenburg,Neil Giuntoli,Brian Libby,David Proval,Joseph Ragno,Jude Ciccolella"
1,Bố Già,"The Godfather is a movie starring Marlon Brando, Al Pacino, and James Caan. The aging patriarch of an organized crime dynasty transfers control of his clandestine empire to his reluctant son.","Crime,Drama",9.1,https://www.imdb.com/video/imdb/vi1348706585,R,"Marlon Brando,Al Pacino,James Caan,Richard S. Castellano,Robert Duvall,Sterling Hayden,John Marley,Richard Conte,Al Lettieri,Diane Keaton,Abe Vigoda,Talia Shire,Gianni Russo,John Cazale,Rudy Bond"
2,Bố Già Phần II,"The Godfather: Part II is a movie starring Al Pacino, Robert De Niro, and Robert Duvall. The early life and career of Vito Corleone in 1920s New York City is portrayed, while his son, Michael, expands and tightens his grip on the...","Crime,Drama",9.0,https://www.imdb.com/video/imdb/vi696162841,R,"Al Pacino,Robert Duvall,Diane Keaton,Robert De Niro,John Cazale,Talia Shire,Lee Strasberg,Michael V. Gazzo,G.D. Spradlin,Richard Bright,Gastone Moschin,Tom Rosqui,Bruno Kirby,Frank Sivero,Francesca De Sapio"
3,Kỵ Sĩ Bóng Đêm,"The Dark Knight is a movie starring Christian Bale, Heath Ledger, and Aaron Eckhart. When the menace known as the Joker wreaks havoc and chaos on the people of Gotham, Batman must accept one of the greatest psychological and...","Action,Crime,Drama,Thriller",9.0,https://www.imdb.com/video/imdb/vi324468761,PG-13,"Christian Bale,Heath Ledger,Aaron Eckhart,Michael Caine,Maggie Gyllenhaal,Gary Oldman,Morgan Freeman,Monique Gabriela Curnen,Ron Dean,Cillian Murphy,Chin Han,Nestor Carbonell,Eric Roberts,Ritchie Coster,Anthony Michael Hall"
4,12 Angry Men,"12 Angry Men is a movie starring Henry Fonda, Lee J. Cobb, and Martin Balsam. A jury holdout attempts to prevent a miscarriage of justice by forcing his colleagues to reconsider the evidence.","Crime,Drama",8.9,https://www.imdb.com/video/imdb/vi3452609817,Approved,"Martin Balsam,John Fiedler,Lee J. Cobb,E.G. Marshall,Jack Klugman,Edward Binns,Jack Warden,Henry Fonda,Joseph Sweeney,Ed Begley,George Voskovec,Robert Webber"
5,Bản Danh Sách Của Schindler,"Schindler's List is a movie starring Liam Neeson, Ralph Fiennes, and Ben Kingsley. In German-occupied Poland during World War II, industrialist Oskar Schindler gradually becomes concerned for his Jewish workforce after witnessing...","Biography,Drama,History",8.9,https://www.imdb.com/video/imdb/vi1158527769,R,"Liam Neeson,Ben Kingsley,Ralph Fiennes,Caroline Goodall,Jonathan Sagall,Embeth Davidtz,Malgorzata Gebel,Shmuel Levy,Mark Ivanir,Béatrice Macola,Andrzej Seweryn,Friedrich von Thun,Krzysztof Luft,Harry Nehring,Norbert Weisser"
6,The Lord of the Rings: The Return of the King,"The Lord of the Rings: The Return of the King is a movie starring Elijah Wood, Viggo Mortensen, and Ian McKellen. Gandalf and Aragorn lead the World of Men against Sauron's army to draw his gaze from Frodo and Sam as they approach...","Action,Adventure,Drama,Fantasy",8.9,https://www.imdb.com/video/imdb/vi2073101337,PG-13,"Noel Appleby,Ali Astin,Sean Astin,David Aston,John Bach,Sean Bean,Cate Blanchett,Orlando Bloom,Billy Boyd,Sadwyn Brophy,Alistair Browning,Marton Csokas,Richard Edge,Jason Fitch,Bernard Hill"
7,Pulp Fiction,"Pulp Fiction is a movie starring John Travolta, Uma Thurman, and Samuel L. Jackson. The lives of two mob hitmen, a boxer, a gangster and his wife, and a pair of diner bandits intertwine in four tales of violence and redemption.","Crime,Drama",8.8,https://www.imdb.com/video/imdb/vi2620371481,R,"Tim Roth,Amanda Plummer,Laura Lovelace,John Travolta,Samuel L. Jackson,Phil LaMarr,Frank Whaley,Burr Steers,Bruce Willis,Ving Rhames,Paul Calderon,Bronagh Gallagher,Rosanna Arquette,Eric Stoltz,Uma Thurman"
8,"Thien, Ac, Ta","Il buono, il brutto, il cattivo is a movie starring Clint Eastwood, Eli Wallach, and Lee Van Cleef. A bounty hunting scam joins two men in an uneasy alliance against a third in a race to find a fortune in gold buried in a remote...",Western,8.8,https://www.imdb.com/video/imdb/vi3416964889,R,"Eli Wallach,Clint Eastwood,Lee Van Cleef,Aldo Giuffrè,Luigi Pistilli,Rada Rassimov,Enzo Petito,Claudio Scarchilli,John Bartha,Livio Lorenzon,Antonio Casale,Sandro Scarchilli,Benito Stefanelli,Angelo Novi,Antonio Casas"
9,The Lord of the Rings: The Fellowship of the Ring,"The Lord of the Rings: The Fellowship of the Ring is a movie starring Elijah Wood, Ian McKellen, and Orlando Bloom. A meek Hobbit from the Shire and eight companions set out on a journey to destroy the powerful One Ring and save...","Action,Adventure,Drama,Fantasy",8.8,https://www.imdb.com/video/imdb/vi2073101337,PG-13,"Alan Howard,Noel Appleby,Sean Astin,Sala Baker,Sean Bean,Cate Blanchett,Orlando Bloom,Billy Boyd,Marton Csokas,Megan Edwards,Michael Elsworth,Mark Ferguson,Ian Holm,Christopher Lee,Lawrence Makoare"
